group,time,pH,id
Glucose_before,0.153691948,6.993150685,2
Glucose_after,29.94765564,6.726027397,1
Lactose_before,30.20603631,6.815068493,4
Lactose_after,30.19044437,6.719178082,3
Glucose_before,2.038088874,6.082191781,2
Glucose_after,19.99554516,6.520547945,1
Lactose_before,20.00556855,6.582191781,4
Lactose_after,20.06682259,6.45890411,3
Glucose_before,5.010580243,5.863013699,2
Glucose_after,10.01002339,6.109589041,1
Lactose_before,10.23053792,6.465753425,4
Lactose_after,10.09912017,6.157534247,3
Glucose_before,10.08241452,6.054794521,2
Glucose_after,5.100790734,5.917808219,1
Lactose_before,5.199910903,6.52739726,4
Lactose_after,5.138656866,6.150684932,3
Glucose_before,20.14923711,6.465753425,2
Glucose_after,1.977948547,6.212328767,1
Lactose_before,2.054237666,6.681506849,4
Lactose_after,2.167279207,6.376712329,3
Glucose_before,30.1826484,6.671232877,2
Glucose_after,0.234992761,6.993150685,1
Lactose_before,0.197126629,7,4
Lactose_after,0.157033077,7,3
